"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Kirpianuscus","30 May 2019","The wrong idea - to compare with the adaptation of 1995. Because it is not better or worst but different. Proposing a decent solution, far to be original, mixing humor and adventure , using the dream of many teenagers to become the better version of theirs and a good dose of special effects. Jungle, not awful dialogues, good performances and exploration of a familiar universe. Nothing memorable. But enough for a not boring afternoon and, maybe, for the inner child. It is fun and the cast represents the basic source of seduction.","
            7/10
            "
"Jared_Andrews","23 January 2018","The steady and impressive box office success is well-deserved. This movie is pure fun! Actually, it's more than fun; it's clever and perfectly 2018.  No one plays board games anymore, so what did the filmmakers do? They changed Jumanji into a video game. Simple, yet smart. This change not only made sense, it also opened the doors for the characters to possess and exhibit wildly over-the-top skills and physical abilities that would only make sense in a video game setting.  Also perfectly 2018, the handling of Karen Gillan's short shorts. The film earnestly attempts to comment on how video games exploit female characters in blatantly sexual ways. ""Why am I wearing short shorts in the jungle?!"" she exclaims. This scene is well done and could have made a worthy statement if the movie did not proceed to display her booty in the short shorts at multiple junctures throughout the film. The intentions were good; the execution, not so much. Gillan plays a powerful female badass exceptionally well. She even nails the necessary nuances required in playing a shy, unconfident student who is merely inhabiting the avatar of the female badass. Each star in the movie plays the embodiment of an avatar assumed by the high school kids after they are sucked into the Jumanji video game. I understand that the last sentence sounds ridiculous. That's Jumanji. You have to tolerate a bit of ridiculous.
 
Dwayne Johnson, Kevin Hart, and Jack Black all deliver in their roles. Hart is hilarious. Black reminds us that he is still funny. Jack Black should be in more funny movies. Johnson is equal parts funny and charming to such an obscene level that it almost doesn't make sense. He's at the point now that he can still be wonderful and charming, even if the movie around him falls woefully flat (shout out to Baywatch). Setting much of the film in a video game also excused an exceedingly simple plot. The movie embraces this. With all the funny lines, the best one comes when at one point someone asks a video game character in a car ""why can't you just drive us where we need to go?"" At that moment I realized that this movie knows exactly what it is. Still, the movie is not perfect. Bobby Canavale's villain character is strange in a strange way, rather than strange in a cool way. The dialogue has its flaws too. At one point, Jack Black's character gives a pep talk to Karen Gillan's character about confidence. At first, it seems like a lovely speech that tells a teenage girl that she has value because of who she is as a person. Then it abruptly ends with ""I'm just saying you're a babe."" Oh, so physical attractiveness is what gives her value? Ugh. Once again, they were so close to delivering a worthwhile message, but fell just short. These faults are only slight hiccups. Most viewers probably will barely notice them. They certainly didn't ruin my enjoyment of the movie. Above all else, the movie is about fun. And on that aspect, it comes through with flying colors.","
            6/10
            "
"Platypuschow","6 May 2018","To it's credit as you learn mid way through the film this is a sequel and not a remake. I'm thankful for this as I'm tired of the senseless reboots, seriously enough already.With a fantastic cast who are all bringing their A game Jumanji is a very generic Hollywood movie. What I mean by that is its predictible, it's flashy, it's loud and has all the usual tropes that you'd expect.Don't get me wrong I'm not saying that's entirely a bad thing, at least it has fantastic production values but sadly it means it lacks in originality and has no real identity of it's own.Telling the story of 4 teenagers who get pulled into Jumanji, yet this time it's updated and has become a video game!Plenty of comedy, both hit and miss, the stunning Miss Gillan on show and Jack Black for the first time in years actually reminding us why we used to love him.It goes without saying that I prefer the first movie but credit where credit is due Welcome To The Jungle did exceed my expectations as I think I subconciously went in expecting and perhaps wanting to hate it.Nothing special, all flash with little filler. But you can do a lot worse and there are some laughs to be had.The Good:All the 4 leads deliver on every frontThe lives thing is kind of neatThe Bad:Same villian, but changed so dramatically really?!Does exactly what it says on the tinNick JonasThings I Learnt From This Movie:Jack Black was a girl in previous life","
            9/10
            "
"themovieparadise","22 December 2017","All of the performers are fantastic in this film, and are perfect fits for their roles. The group dynamics are excellent, and they all have hilarious back-and-forths with each other. Some of my favorite moments in the movie are when everyone is simply standing around talking. Dwayne Johnson really shows his comedic talents here. While he does have a few scenes where he gets to show off his action chops, most of his role is comedy-heavy, and he delivers on it. Kevin Hart plays the same character he always plays, and more times than not it annoys me, but for whatever reason here it works. Maybe it's his chemistry with the other actors, but he's hysterical in this movie. I'm not a huge fan of Karen Gillan's character of Nebula in the Guardians of the Galaxy films, so I wasn't sure how she was going to be in this. But she delivers as well. Not only does she nail the action beats (and she has some of the best in the whole movie), but she also has some great comedic moments, comedy that I didn't know she could pull off as well as she did. But the true star of this movie is Jack Black. I thought he was hysterical in the trailer, but I was afraid that the concept of him actually being a teenage girl would get old and annoying quick, but it doesn't. Black is perfect for this role, and nails every comedic moment he's given. They are all fantastic together, and it makes for some great entertainment...","
            9/10
            "
"Tweekums","30 June 2019","This film opens with the viewer being introduced to the four high school protagonists who find themselves in detention together. They are; Spencer Gilpin, an intelligent but shy boy; Anthony ""Fridge"" Johnson, Spencer's friend who is a football player needing academic 'help' who are caught cheating; Bethany Walker, a popular girl who used her phone in class and Martha Kaply, an academic high-flier who doesn't see the point of physical education... or PE teachers. Once in detention together they are left alone in a room and find an old games console. The hook it up to a TV and select their characters... then they find themselves sucked into the game in the bodies of their characters. They also gain their characters' allotted skills.Somewhat inevitably their new in-game avatars are rather different to their real world characters. Spencer finds himself in the body of man-mountain Dwayne Johnson; Fridge ends up as Kevin Hart, no longer a great athlete but with knowledge that the team will need; Bethany is perhaps the most shocked when she becomes Jack Black and Martha finds herself in the scantily clad body of Karen Gillan... complete with martial arts skills. They soon meet a character who gives them their task... if they are to exit the game they are to return a gem to the statue it was stolen from. If they are to escape they will need to adapt to their new strengths and weaknesses and work as a team as they face a variety of challenges. It helps that they each have three lives but it is far from clear what happens if they lose the third... although they assume it means real death.I haven't seen the original 'Jumanji' but thought this would be worth checking out as the concept sounded fun and the four lead actors have all impressed me in the past. They may be very different but the film this made me think of was 'The Breakfast Club'; not just because it involves students in detention. Like that film it shows the characters are more than their stereotypes; something they learn when they suddenly find themselves forced to as characters very different to their own. The cast are all on great form and provide many laughs. It was great seeing Dwayne Johnson playing a slightly wimpy character and it was hilarious seeing Jack Black as a high school girl! Kevin Hart and Karen Gillan really impressed as well. The action was solid with good CGI making it look real. The villain didn't have much of a character but that makes sense given that they are meant to be in a game... all the non-player characters are comically limited in what they say and do. The spectacular Hawaiian countryside is used to great effect to make the land of Jumanji. While there are no real surprises the story is a lot of with its impressive mix of action, humour and great characters. The humour mostly avoids crudeness... even the idea of a high school girl coming to terms with her new male body is dealt with in a way that is unlikely to offend too many people. Overall I'd definitely recommend this fans of 'Indiana Jones' style action.","
            9/10
            "
"vengeance20","23 December 2017","Heard about another Jumanji Film being made, but thought it was going to be a remake of sorts. Well, through years of development it seems to be more of a different take on the 1995 classic! And a good take it was!Starting at 1996, a young man finds a ""board game"" on the beach after hearing the iconic ""jungle drums"" sound emitting from the box partially covered in sand. Like the original, he finds it, takes it home with him, & then finds out it's an Nintendo like game & plugs it into his console & starts playing, he gets sucked in & is trapped in the game, similar to the original, but as a computer games console, not a board game, interesting take.So fast forward 21 years later, & 4 young teens who all come together via detention play the game & get sucked in after finding it in a store room in the school. It's then they find themselves in different bodies & each have 3 lives like that of a computer console game. They then learn of the curse of the jungle via a green jewel & must place it back where it was & shout ""Jumanji!"".The film I thought was pretty good! Of course it wouldn't be nearly as good as it's counter back in '95, but it's pretty damn close to be an original & somewhat is! The story was simple & easy to follow, the characters were great & likable, Karen Gillan was a babe in this film! (sorry had to say it!), but she & the others were great! I also liked the humour in this film too! It was funny & fitted well!I was kind of peeved it wasn't set in the real world as appose to a jungle, but I suppose it was because they were sucked into a different world so it made sense in a way, & it wasn't too bad either!Overall this film was a good watch & matches pretty well with the original film! 9/10 Go watch it!","
            7/10
            "
"veeresh1209","6 April 2018","Reboots can be tricky. While some click, most of them crumble under the pressure to shake off the barrage of comparisons that would be thrown at the movie. Last couple of years saw such horrible reboots like Jurassic World, The Mummy, Kong: Skull Island. But much like Spiderman: Homecoming, Jumanji succeeds to impress the viewers. 
Jumanji gets a modern age makeover where now instead of a board game it is a video game. Four teenagers with varying personalities are put together in a detention. Here they discover the Jumanji video game and enter the world of Jumanji as their avatars. Then starts the fun ride. There are enough plot holes like how did the video game end up in a high school from Alex's freak house. The movie uses time tested cliche - Four teenagers with some flaw realize their shortcomings when (literally) seen from some other's point of view. But the fun parts of the movie makes us forget them, at least till the movie ends.The movie does not take itself seriously, and that is a huge plus point. The plot of the movie is crazy, there are man eating albino (what?!) rhinos on one side and villainous henchmen with crazy mud racing bike skills on the other side. But such craziness has been ridiculed in the movie itself, which makes you fall in love with it more.The bigger plus for the movie has been the performance of the lead actors. All of them have created niche for themselves in the film industry. Jumanji has used such niche beautifully and built very funny characters. Parts where Dwayne Johnson(Spencer) stops to admire his own physique will have you in splits. Not to mention his hilarious display of 'smoldering intensity'. Kevin Hart is Kevin Hart and Jack Blake as a women in a man's body is perfect. Karen Gillan, who is this mean Nebula in MCU, comes up with a very charming performance.All in all, Jumanji is a movie that you can watch without any regret. It will make you gasp, wonder and laugh hysterically. It is definitely worth a watch.","
            9/10
            "
"dontpanik","9 December 2017","We went to see this as part of the early screening for Amazon Prime members. I always worry that all the funniest parts of a movie are spoiled in the trailer leaving nothing left in the film. That isn't the case. I was either smiling or laughing the entire movie, as was the rest of the theater. Is it Citizen Kane? No. Was I going to the theater wanting to watch a drama that delved deep into the characters' lives? No, again.Our 4 heroes are sent to detention where they discover and are consequently sucked into Jumanji. They become the avatars they chose for the game and must complete the object of the game without using up all their lives. They have to work together, as a team. It is so much fun. It's predictable, funny, cute and the most important, entertaining. The actors are great in it, including a few cameos that were unexpected. The humor isn't too crude, but still slapstick-y and funny. It was along the vein of Shrek, Rat Race, or Clue. Again, if you're looking for deep and can't stand watching a movie without questioning everything, skip this one. This is one of those movies I'll be buying just so I can put it on and laugh.","
            9/10
            "
"mike48128","29 August 2018","In 1995, the board game ""Jumanji"" resurfaces in the USA once again. Never mind that originally it washed up from the ocean in France at the end of the first movie. It ""morphs"" into a Play Station-like self-contained video game and a teen-aged boy is sucked into it and becomes a helicopter pilot. Twenty-one years later, 4 teens get sucked into it again. This time, it is a jungle-themed adventure game with a rather-thin ""plot"" which follows silly video game protocols. Each player has 3 lives and special strengths and weaknesses, which they can view and sometimes control. Many twists and turns. The 4 ""gamers"" are transformed into new avatars. Two of them are almost ""invulnerable"". One is a Tarzan-like ""Indiana Jones"" and a gorgeous babe combining the charms of ""Laura Croft"" and Marvel's ""Black Widow "". Both can perform impossible leaps and bounds, like superheroes. A nerdy girl turns into a boy nerd (Jack Black). All are chased (and some are killed) by dangerous jaguars, ""man-eating"" hippos and rhinos. One gets blown up by explosive food, jumping to their death, etc. All are restored by their extra lives. Much ""tame"" mostly non-graphic video game violence, no cuss words, and the ""feeling"" that everything will turn out fine in the end. They are helped along-the-way by various ""guides"" and the magical powers of a luminous green gem that creates evil and yet returns everything back to normal when it is returned, similar to ""The Temple of Doom"" concept. Uttering the word ""Jumanji"" ends the game. The original player returns to his own timeline and so does everyone else. ""Jimanji 3"" is planned, and I don't really see a reason for it as the game is destroyed at the end of this movie. Perhaps magic or cursed things are ""immortal""? Look for ""Jumanji 3-The Search for More Money"" (my title) in 2 years.","
            10/10
            "
"ThmellyAthole","8 April 2018","I used to have an IMDB account when I was a teen - or at least thought I did, but couldn't log on. In any case, I think I've visited here maybe twice in the last five years. Today though, after just getting back from watching this with my almost-grown kids, I had to make an account just to leave this review.To begin, I'll never understand people. I can't believe the negative reviews. How could anyone not have laughed like hell while watching this and still have a pulse? I didn't go in expecting much, but I came out with a smile on my face. The girl is hot, Jack Black ""owns it"", I've never been overly enthused about Kevin Hart, but he was fantastic. and The Rock just knocked it out of the park. I saw one review which reads: ""not a wrestling fan ever so to see 'the rock' in movies, instantly puts me off!"" Does anyone else want to vomit at the inanity, irony and ludicrousness of that statement? Then you have the user who out of 40+ titles he/she has reviewed in the past has only ever rated TWO above three stars. Seriously, if you don't enjoy films and find them so terrible, find a new hobby already. You've got one guy saying the shirt one of the kids wore was outdated. So, I'm guessing one can only wear clothing depicting the current year? Then you have the reviewers who maybe didn't understand the dialogue since they can barely communicate correctly themselves (such gems - I kid you not - as: 'averege'; 'what so ever'; 'family fair' (fare); 'are just wasn't'; 'due to it has'; 'all of there' {their); 'coz it is boring story'; 'no compare with'). Finally, you have the maybe half dozen reviewers who are so caught up in their bigotry that they can't relax and enjoy a film if it isn't whitewashed and who complain about the ""Hollywood liberal agenda of diversity"". Leave the politics at the door, man.
In short, Jumanji Welcome to the Jungle was a fantastic hour or more of rip-riding fun and laughs.Except for one very funny moment, Dwayne Johnson retires his wrestling persona for this film and instead, provides a smoldering and intense performance, riddled with good-natured hilarity as the lead in this film. Gillan was great in Doctor Who, and although I thought she was the weakest of both characters and actors in this film, she still held her own and looked fantastic doing so. She has one of those faces you can't help but love. Kevin Hart was fantastic as the diminutive valet and looking back, I think he was somehow involved in every funny moment in which I laughed the hardest. Finally, the master, the maestro (though I never really was a fan prior to this), Jack Black plays the teen beauty queen with 100% commitment and to perfection.10/10 and definitely a film I will be purchasing right after I click ""Submit"". You can never have enough laughter in life, and Jumanji, Welcome to the Jungle delivers barrels-full.","
            7/10
            "
"damianphelps","7 March 2021","I will admit from the outset I was concerned about this. The original Jumanji is pretty incredible and I was worried that the use of The Rock may distract from the clever elements of the film.
To The Rock's credit it doesn't. You clearly notice him in it but he doesn't overpower the film.The sidekicks are a big part of the success here, it allows for more depth and humour to be spread across the film.The should be proud of the effort here in building a new legacy and not diminishing the original.Fun for all :)","
            9/10
            "
"davispittman","31 December 2017","I'll start out by saying that my family is a really big fan of the Robin Williams/Bonnie Hunt Jumanji movie, I personally thought it was alright. Nothing great, but not bad either. I went into this movie with my doubts about it's quality. One, because I wasn't the biggest fan of the original, and two because I was fearful it would just be another generic action romp. I was WRONG. This is one of the best action films I've seen in some time, and there are many reasons as to why this one works so well. Reason number one: the casting. This cast is just perfectly put together. Dwayne ""The Rock"" Johnson really was great in the lead role, one of his best performances in my opinion. Kevin Hart serves as the ever hilarious comedic relief, and he did a fabulous job of making the audience laugh their asses off. Jack Black is really great here as well, very funny, really the best middle aged man in Hollywood you could pick to play as a teenage girl stuck in another body. And lastly, Karen Gillan and Nick Jonas give fun entertaining performances. The acting is a big plus for this movie. Reason number two: the writing. The script allows for many things: comedy, action, and some serious stuff too. Funny lines for the comedic heavyweights and more touching/sweet content for when it's called for. And finally, reason number three: very exciting action and effects. The action scenes are done well and achieve the level of excitement that they are going for. And the visual effects are top of the line as well. Overall, this is just a great film overall, and it even gave a small harken back to the original 90s film. Great lovable characters, exciting action, skilled writing... just a joy overall. 9/10 for Jumanji: Welcome to the jungle.","
            10/10
            "
"MajorMAlice","13 March 2018","I would say I gave it a 10 to balance out the bobo-heads with no funny-bone in their body's low scores, but no; this movie deserves a 10 and more. Jumanji Welcome to the Jungle is a stand-alone, HILARIOUS romp which leaves the original in the dust. Heck, HILARIOUS IS AN UNDERSTATEMENT. Note that this is not to say that the original Jumanji was bad. On the contrary, it was great, especially for when it was filmed and who better than SIR Robin Williams, but in terms of laugh-out-loud good fun and non-stop smiles, this Jumanji far outpaces and outdoes the original. While my BF and I have somewhat different tastes in movies, and he is not a Rock fan (he loved him as a wrestler, not so much as an actor), we both laughed SO MUCH while watching this. The Rock knocks it out of the park with equally stellar performances by Jack Black and Kevin Hart. What is even more fabulous is that it has kids humor, yes, but also 'thinking-people's humor' in the form of obscure little tidbits which are dropped here and there and keep you on your toes and grinning ear-to-ear. There is hardly any scene where you step out of the roller coaster ride of fun it sets you on from the moment they (and you) are IN Jumanji.Do yourself a favor. Watch this, and if you don't laugh raucously at LEAST six times, seriously, consider what else might be wrong. In fact, if you read through some of the negative comments, you see the same old, bored, stagnant people complaining about it being ""too PC"", AND BLAH, BLAH, BLAH. Cry me a river. If you notice these people's other reviews, it is easy to see that anything that they consider too scary (read: progressive) to fit in the mold of their little minds and world, automatically gets relegated to the 1/10 pile. Shame.In closing, this Jumanji gained a place within my favorite movies of all time, and the only thing which makes me sad about it, is that 1. I wonder if upon a fourth viewing (we saw it three times) through my 20th it will lose some of its luster; and 2. that it wasn't much, much longer, as I did not want the fun to end.","
            9/10
            "
"DarkVulcan29","29 December 2017","A delightful follow up to the 1995 film that starred the late great Robin Williams, comes the new film 22 years later, I really like the way it let's the audience know that it is a sequel and not a reboot. It 's joyfully adventure basic a send up of Indiana Jones and Lara Croft films. But the characters really stick together, that is what makes the film fun to watch. Dwayne Johnson, Karen Gillan , Kevin Hart and Jack Black play there parts very well, has teenagers who get pulled in a video game , and our in the bodies of the characters of the game. Jack Black steals most of the scenes has a teenage girl trapped in the body of a man. Villians here look like cast offs from a Mad Max film, but are still fun to watch. It's not totally a kids film, there are a few adult jokes put in. I really was entertained here, it's not a masterpiece but just a fun time, and sometimes that is all you need. So go in this expecting nothing more or less. I believe video game fans will find this a fun time.","
            8/10
            "
"regula1","8 December 2017","The original Jumanji was supposed to be a one-and-done film, even though it teased the potential for a sequel. Many voiced trepidation at the prospect of a sequel after all these years later, and after the tragic death of original star Robin Williams, there were valid concerns about whether this sequel could be both a good movie and a fitting sequel and tribute to what had come before.I am glad to report that it fulfilled all expectations.The film relies almost entirely on its star power, and it has that in spades with the likes of Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, and Nick Jonas. Where the charm resides, though, is the actors playing against their types through the means of real-world to video game body switching: The Rock embodying a nerdy hypochondriac, Hart an all-star jock, Gillan a shy insecure reject, and perhaps most brilliant of them all, Black housing a she's-all-that pretty girl. Together our four teenage protagonists get sucked into the video game incarnation of Jumanji, a jungle land that is threatened from the typical video game threat, and our heroes must do the usual video game tasks in order to beat the game and return to the real world, all without getting killed in-game, which will get them killed in real life after three lives.The film thematically treads the same sort of ground that other teen movies tend to cover, mainly the stereotypical high school tropes get thrust into a situation that forces them to work together to correct each other's flaws and by the end they return to their 'normal' lives as better people.What the film does different in the body-switching is that these tropes are transferred onto adult actors, people who each have tropes of their own, and the way that each actor gets to play against their type is definitely what makes this movie so fun.On the flipside, like a video game, the villain is very one- dimensional, and while the narrative isn't necessarily harmed by it, it does stand out as something that's lacking, wishing that the villain was more than just 'I will kill you because reasons'.Also, the character introductions in the real world at the beginning of the film feel very forced, as in we all know they end up in the game, and the reasons they get into the situation feel very convenient, as if the writers could not find an elegant means to get these four people in the same place in front of the game console at the same time, so they just threw them all together.These are fairly minor nitpicks, as the pace of this film is fast, it doesn't really drag at all, and while they do repeat a joke or two, it doesn't step over the line into annoying. All this makes for a very fun film, definitely worth your time this holiday season, and after once it gets released on home media.","
            8/10
            "
