"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"JoeyCeee","11 November 2022","Is there ever gonna be a character arc? Terrible cuts, terrible action, terrible acting, terrible plot. Unlikable characters (they made the Rock unlikable!) is not a fun time.Not sure its wise to introduce new characters with no idea who they are or what is their motivations. Didn't all those bad Suicide Squad/Harley Quinn/Joker films tell us that?Rock looks good but old. Is this a one off for the character or do they weave him into the DC Uni. I guess so since Superman showed up.This is a kid's movie, with kid's plotting, very much a wasted movie.1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16.","
            4/10
            "
"HabibieHakim123","20 October 2022","Black Adam is not without its flaws, but i still enjoy the hell out of it, the problem that i have with Black Adam is that i never really buy all the Kahndaq people 100%, in the end i only still buy half of it, but i still fine with it, it's not like their characters are terrible, it just most of the time they are doing just a poor performance except the actress who played the mom and probably Ishmael for the most part, at least i still got some of the laughs from one of them, some of the slower scene was sometimes misplaced including some of the flashback, and some nit picky here and there, the rest of Black Adam is an exciting comic book film that fills with a very impressive battle that also fills with dazzling visual and cool style, Black Adam himself played incredibly well by Dwayne Johnson, he was just unstoppable in the most badass way, Justice Society has just become one of my favorite superhero team specifically in movies, they are fun and they are great, Hawkman, Doctor Fate, Cyclone, and Atom Smasher all of them are a hit for me, i love every single one of them, though i do wish they have something more with Doctor Fate because i think Pierce Brosnan was just unbelievably good playing the characters, again at least we do still have that one moment, i would love to see Justice Society again in movie maybe even their own movie, i would also love to have a specifically Doctor Fate standalone or a prequel film, and last but not least, the main villain, i think the main villain is doing as fine as most of the hero in the movie, so overall Black Adam is a quite a fun ride, 2 hours did feel quite goes by, an exciting back and forth battle that fills with dazzling visual effect and style, great score, great sound, great performances for most of the cast, being the first original DCEU movie that release in theaters only since WW84, Black Adam is not perfect but it's still great, it's still fun, it's still fascinating, it's still exciting, and i enjoy the hell out of it.","
            8/10
            "
"masonsaul","22 October 2022","Black Adam certainly has its problems, from it's generic third act (are we really still doing sky beams), terrible villain and very hit and miss humour, however it's still a really fun superhero film thanks to some solid explorations of morality, brief deeper meaning and some ridiculously entertaining superhero fights.Dwayne Johnson gives a great lead performance, restraining his trademark charisma to give a more sombre performance that works. Quintessa Swindell and Noah Centineo have charming chemistry and are both likeable which makes up for their characters lack of depth or development.However, it's Pierce Brosnan as Doctor Fate who is definitely the standout with superb dry wit and suave screen presence as well as a surprisingly earnest bond with Aldis Hodge's Hawkman whose stoic and commanding performance makes him inspired casting.Juame Collet-Serra's direction is really good, it lacks an overall voice but makes up for it with plenty of stylish slow motion, needle drops and dynamic camera work. The CG is mostly solid with a fair few weak spots and the music by Lorne Balfe is also really good, extremely epic and operatic in the ways that make everything way more enjoyable.","
            7/10
            "
"MackMonMay87","10 November 2022","Black Adam is possibly one of the most generic superhero movies ever made. In a year that also gave us Morbius, that's quite a statement to make, but true. For me, Black Adam sits somewhere between being better than Morbius and Love&Thunder, but far from good.Like many of the DCEU movies, it doesn't set up the characters properly or give us the core reasons we should care about these characters and what their theme is. The Rock's likability and natural charisma and charm is wasted on such a serious, dour character like Black Adam. You can sense the restraint The Rock is using to make Black Adam more ominous and less relatable than his typical schtick, and it makes the character feel clunky as a result.Physically, The Rock is perfectly cast and I've said for many years he should play a comic character. He's one of the few major actors that doesn't need to train at all for the role of a superhero and can show up on-set ready to play the part the day-of. But the physical side can only go so far, and there's moments where The Rock tries to batner with some of the side-characters, but still trying to embody the seriousness of Black Adam, and it just comes off as awkward. Overall, this character just doesn't work for him, and a more standard heroic role with more potential for comedy would've been a better fit.The other heroes introduced, The Justice Society, are for the most part as flat and ineffective as Black Adam himself. It really does seem like Black Adam and the rest of the Justice Society should've been introduced in a previous DCEU project. They have the most ridiculously undercooked plan from a group of superheroes I've seen in a long time, and while the movie tries to hint at self-awareness of this through dialogue, that still doesn't make what they're actually doing with the story good. It really more makes the Justice Society look like clowns. Pierce Brosnan is the best performance in the movie, to nobody's surprise, but even then we get so little of why we should care about the JS and who their characters are. I have to give a mention to Cyclone being arguably the most worthless character in a superhero movie ever. Her tactic against Black Adam, a being as strong as Superman, is to toss pipes at him with the wind, and she contributes more or less nothing the rest of the movie.The movie tries to sell Black Adam as an anti-hero, and tries to make attempts at a sort of moral grey-area, but it falls flat. Intergang, the force invading Khandaq, is objectively evil without any redeeming reason to be there, so when Black Adam kills them, there's not really a sense of shock or any moral deliberation. They're remorseless scumbags conquering a country for their resources (Eternium, not only seeming like a blatant rip-off of Black Panther regardless of whichever came first in the comics, but also the most poorly named fictional material since Unobtanium in Avatar), so aside from the act of murder itself, which they bring on themselves by attempting to mortally kill Black Adam, there's really not much of a moral quandary here. Nothing Black Adam does in the movie embodies the ""anti"" part of being an anti-hero. His actions never lead to an innocent person dying or even getting slightly hurt. This is the kind of content missing from something like Black Adam, that could actually drive a sense of consequence and drama, stuff like that is supposed to be the foundation of comic book stories, but they shy away from taking the story there and attempting to tell us who the characters are through goofy dialogue rather than actions.To contrast with Black Adam, look at another former WWE-star in a DC production: John Cena as Peacemaker from his own show with the same name and '21's The Suicide Squad. Peacemaker actually does hold morally questionable views, is introduced to us as a criminal psychopath, and is blatantly antagonistic to the lead character. In his own show, he grows from these aspects of character and becomes less sociopathic, which is interesting to watch. The main difference there is that The Suicide Squad and Peacemaker had the involvement of James Gunn, who actually knows how to craft oddball characters with a sense of love and a way of making even the weirdest characters endearing.Black Adam shows that after all this time, even with some successes in recent years, the DCEU still doesn't consistently know how to craft interesting characters that feel at least somewhat fleshed out in an inter-connected universe. Everything about Black Adam feels as if a machine was given all the typical elements of a modern superhero movie and made to produce one, without any of the heart or regard to character, or what makes the genre really work. It's good enough to not be awful, but not good enough to be memorable.","
            5/10
            "
"parksiet","23 October 2022","No, the hierarchy of power in the DC universe did not change with the introduction of ""Black Adam"". This was a very mediocre film, and felt like a very colour by numbers superhero film, designed and tested to please as many audiences as possible. Meaning it plays it safe and doesn't take any risks. But I enjoyed it, it's a very entertaining watch with lots of huge setpieces! In fact, once it gets going it doesn't stop... it's a non-stop, action-packed thrill ride! It's only problem - it's so average; something we've seen a million times before. It almost left me feeling a bit of superhero fatigue, as everything just felt recycled. I kept waiting for it to do something fresh and new, and while there were a few good moments, overall the movie was incredibly predictable. I even had moments wishing the action would slow down so we could get another dialogue scene or something that would flesh out the characters more. The script just isn't great, frankly. But it's still a good time. I think of it like this; Black Adam is a bad movie held together by some AWESOME moments!So let's get these negatives out of the way. The script is extremely weak and very predictable, heck the trailers even spoiled a ""twist"" near the middle of the film. It's not hard to figure out what the movie is doing, especially for those of us who've seen a lot of these superhero movies over the years. It doesn't try all that hard to keep eventual reveals hidden, as it's more focused on giving its protagonist the flashiest, most murder-filled debut in the DCEU (even though I would look to ""The Suicide Squad"" for that). It really felt like the creative team saw Black Adam being an anti-hero as an excuse to let them have the character kill everyone. It felt so overplayed and obnoxious, like they were trying to say ""see look how brutal we can make this"" without actually earning the audience's investment. The scenes where Black Adam just goes around dominating everyone just felt empty, like sure it was cool to see him be so powerful and instantly kill people, but it took all the tension out of the scenes. It felt like they were beating me over the head with ""look how powerful and ruthless he is"". The novelty of it wore off very quickly too, so thank god the film introduces the Justice Society pretty quick! They did make the smart choice of making this equal parts a Justice Society film as they did a Black Adam film, and I gotta say while I did find the character of Black Adam quite interesting, it was the Justice Society (mainly Hawkman and Doctor Fate) that I loved!It's when the Justice Society comes in that the movie remembers how fun exciting superhero stories can be. I enjoyed their part in the story the most, and instantly loved the characters. Pierce Brosnan's Doctor Fate was awesome, it was so cool to see Brosnan in a superhero role. He did feel a little reminiscent of a certain Marvel Doctor, but that's okay because they both have some COOL scenes; Fate had some of the most memorable in the film! Hawkman was also pretty badass, I really hope to see these characters again! And I gotta say, I did love Dwayne Johnson as Black Adam. He suits the role very well and I'd love to see this iteration of the character return. I'm just not sure how I feel about him in this movie. It makes him look cool and all, and Johnson's physique is perfect for the character, but he had almost no story. Like they introduced his backstory and everything, but once the movie got going it never stopped to examine his character; we never understood how he felt about anything, which made him just come across as an uncharming sociopath. This is especially unusual for Johnson, as we all know how undeniably charismatic he can be, and he just isn't here. But damn he sure is magnetic and does command the screen with his hulking form and brooding looks. The only cast members I didn't like, and this was more because of the way their characters were written, were Adrianna and her son. They really did not work for me and made some really dumb decisions throughout the movie, and had some very cringey scenes. But luckily that was only a minor part! There was some cool cameos too, surprisingly from James Gunn's ""The Suicide Squad"" and of course a certain cast member from ""Shazam!"". I did love these little connections- it's nice to see the DCEU try to be interconnected again! And the ""Shazam!"" stuff was awesome, it showed some things I wished we got to see in that movie! And how could I forget... There was one other cameo I did really love. It's definitely the worst kept secret in Hollywood... but made for an awesome end credit scene and made this fan very happy!The filmmaking here is abysmal. Jaume Collet-Serra has never made a great movie, instead making B-level movies at the studio level... and this might just be proof he is not capable of directing films of this scale. He makes every moment feel mundane; from Black Adam going on a killing spree to the big fight between the JSA and Black Adam, these moments should feel engaging and cool, but instead just bored me, frankly. It feels like he is trying so hard to show spectacle, but he ultimately fails, making it all feel cheap and generic. I also couldn't stand the cinematography. It seems like they shot the film to look like Zack Snyder's ""300"", with bland colours and lots and lots of annoying slo-mo. At least the CGI was good! There were some moments that had their flaws, but overall this movie has some awesome CGI (and a seemingly obligatory CGI filled 3rd act). Don't even get me started on the truly awful sound mix, it just felt like sound was being blared in my face for 2 hours and I couldn't discern what I was hearing. It just sounded messy. The score isn't memorable, instead it just sounds like a jumble of notes and digital instrumentation, it has no emotional core to the music and it is just noise. Even the dialogue is not mixed well, but that's okay because the dialogue is horrendous anyways.So why, after all that complaining, did I ultimately enjoy myself while watching? Well, because it has enough cool moments that I came out satisfied. I have never seen a movie so bad that I still enjoyed this much. It's remarkable how well a few moments and ideas can make for an enjoyable viewing experience. The disappointing part of this is, if only they put the good moments together in better ways this could have been an awesome film, but instead it misses so many opportunities. There was one moment that really stands out to me because it made me want to cheer however, and that was the awesome reference to ""The Good, The Bad and the Ugly"", I feel like many superhero fans will miss that reference, but for me as a cinephile that scene quickly became my favourite in the film! The film felt like it was made in the 90s, before the MCU, before X-Men, before superhero flicks became popular back when they were still trying to figure them out, it was just all over the place. And it also happened to be pretty derivative of other films- ""Avatar"", ""Black Panther"" and ""Captain America: The First Avenger"" especially. But despite all my issues I have with this film - and I have many - it somehow still managed to entertain me and leave me satisfied by the time it was over (possibly because of the awesome end-credit scene). It was kind of like ""Venom""... just some mindless superhero fun! I wish it was a better movie because it did have some awesome elements, but as a film it ultimately fails. I would like to see more of Dwayne Johnson's ""Black Adam"", especially in a potential ""Black Adam v. Superman"" movie he keeps talking about! With some improvements, it could be a much better movie than this, while still being entertaining!","
            6/10
            "
"rdietman","4 December 2022","Wow. The fact that someone read this script and approved it is astounding. Even worse, is that they saw the final product and said, ""Yeah, this is OK. Let's go with this"". This makes your average CGI suckfest look like Citizen Kane.The writing was horrible, the acting was atrocious (Pierce Bronson, please fire your agent), the costumes were laughable (Rock's outfit desrves a Razzie by itself), and the plot was just......bad.The only characters that weren't wooden and unlikable were the Uncle and Atom Smasher. Growing up, I loved Hawkman. His portrayal here was just embarrassing. He made Bruce Wayne look poor and Tony Stark look humble.Everyone associated with this trainwreck should be ashamed. Well, except for the Uncle and Atom Smasher.","
            1/10
            "
"namob-43673","22 October 2022","In the superhero movie genre I would rank this somewhere in the middle, which of course also means that this is a fantastic movie from a DC-perspective. DC have really been digging below the bottom of the barrel, and with only one exception every other single movie have been horrible.This is not horrible. Actually this is kinda entertaining, it is fun, and the movie flies by in a very brisk pace. The more or less constant fighting is pretty great, and they even manage to get a few one-liners in there. Even the CGi is good (mostly), which can only mean that DC finally got rid of their awful special effects team.But this is not really great either. This is a very single-minded kind of movie. Evil bla bla bla curse lots of slow-mo accompanied by superhero bombastic music and lots of crashing buildings, lots of disposable henchmen. Sure there is a underlaying theme of ""who is really a hero?"" and a few tiny tidbits of story, but mainly this is like a huge wrestling match with pretty unpretentious smashing. Since everything move so quickly we also have no time to breath or get to know these characters. I wish there was 20min more with some background stories, but nah, smash more, blow up more stuff, woosh, blam, slam.If you have no intention of seeing anything but a big long slugfest with a lot of CGi and you do not care about story or character development, then you are likely going to love this. From that perspective, and from a DC perspective, this movie is pretty good, almost great. But if you weigh in actual movie value such as script, characters, and storytelling well... then not so much.I give this a 7/10 just because I was entertained and since I am happy to see a DC film that do not suck like a boring black hole. But to be honest that score is too generous. Worth the ticket price though; so I recommend!","
            7/10
            "
"AvionPrince16","19 October 2022","What a movie! The special effects are really immersive and really give an immersion to the city Kahndag. We learn more about his story and the way that the whole habitants become slave. Black Adam have a story that become more and more interesting and give some surprises, revelations and a new orientation for the future of Black Adam ( with superman at the end). All the super heroes were awesome to watch by their suit, their powers, their goals and the confrontation between the justice society of America and Black Adam give some interesting theme to talk about: is Black Adam really a vilain? What is a hero? What is his duty? A hero can call himself a hero if he can free their people from slavery even he did bad actions? Where is really the line between vilain and superhero? I mean there were interesting things to talk about and the plot get more and more interesting even if its begin in a classic way: the curse of the wizards to make Black Adam a prisonner and his story have a lot of subtilities when other point of view will discuss about the Black Adam Story and his real intentions (his anger cant be under control and can become a treat but the real vilain who is Ishmael because its a descendant of the ancient king of Khandag and it will tell an other point of view about Black Adam because he saw him cried about a boy who get killed and its in fact was his boy who give him the power. So i mean there was some interesting revelations and surprises and bring more nuances to that Black Adam's character. And all the fights in the movie were pretty great and pretty epic. The justice society and their heroes were great ( special mention to Atom, DR Fate, Hawkman) and with them they will discuss more about what is an hero and how to act like one and not just said an hero its this and that make you an hero: it have more subtility and i really appreciated even if i didnt go watch Black Adam mainly for his story but i appreciate it anyway. It have also some drama moments with DR Fate and Hawkman but Dr Fate will save the world at the cost of his life and give an interesting view that DR Fate's character and give another interest to watch the movie because it really have some surprises and revelations during the whole movie and have no break for us to take during 2 hours and thats a good thing. Im glad that the movie have some subtilities and make him more interesting and thats not a battle about to see who is stronger but just to test the value and their intentions and their motivations and really make them stand out each of them and give interesting duels in spirit and physical (Hawkman and Black Adam).And at the end, maybe a collaboration with Black Adam and Superman? Or a duel? Very good DC Movie and bring a new world in an existed one (Shazam) but give an identity and a story to an hero/vilain character that will make him interesting to watch in next movies.","
            8/10
            "
"Nob0dy","9 November 2022","""The film initially received an R rating due to several gruesome death scenes and many cuts had to be made to the film to receive the lower PG-13 rating""^ That is all you need to know about this movie. A team of executives, producers, writers a director, an entire team of absurdly over paid people pitched an idea for a movie based on a comic character.They then hired writers to take certain elements and plot lines from the characters long history and make a movie out of it.They then hired directors, the highest paid yet most one dimensional ""actor"" in history to front it.They spent months having re-writes and changes. Spent months filming scenes over and over again. When they were happy with it it was sent to post production where a team of very highly paid people plastered the movie in special effects.They had it in a studio for weeks to months with music being composed, overlayed, sound lines being re-recorded, foley's producing sounds for movements and atmosphere. Then all of the audio was mixed and overlayed in a way they were happy withAnd then what happened? They took a finished product that they were content was a good vehicle to tell the story and completely buthcered it. Removed any scene that had the character acting like the character he is supposed to be, removed any and all scenes that could possibly be deemed as ""too much"" for a child by the ridiculous american MPAA. They watered down and hacked chunks out of their own product to sell more tickets, even though it was already guaranteed to be a financial success since it has the rocks name attached to it. They destroyed a story that they themselves had concocted and the end result is a completely different end product than what was pitched and even different from what was originally filmed it's dumb it is completely and utterly moronic. If you don't want to make an R rated movie and want to make yet another generic child focused brightly coloured, pun filled movie that has about as much depth as an episode of peppa the pig then do that. Don't take a character who historically has had stories revolving around adult themes, shoot an entire movie retaining the essence of the character and then proceeding to intentionally destroy any semblence of that character or the themes you were part of creating in the first place.I don't care for the rock personally, zero acting ability and a selfish attention seeker in real life, but this movie could and should've been good, he can't act at all but he already has the ego and arrogance that could fit this character, instead we get the most generic, predictable and low effort childish movie that DC has ever churned out.","
            1/10
            "
"kevin_robbins","22 October 2022","Black Adam (2022) is a movie my wife and I saw in theaters last night. This storyline follows an ancient being known as Black Adam awaken within some ancient ruins. There is a race to find a historical crown that contains demon powers that is tied to how Black Adam gained his powers. As Black Adam's chaos begins he gains the attention of the Justice Society that will try to contain Black Adam while also thwarted the evil doers trying to get the crown. The question becomes which side will Black Adam take, the side of the evil doers or join forces with the Justice Society?This movie is directed by Jaume Collet-Serra (Orphan) and stars Dwayne Johnson (The Rundown), Aldis Hodge (Hidden Figures), Pierce Brosnan (Tomorrow Never Dies) and Mohammed Amer (Mo).It's impossible not to like a super hero movie with this many kill scenes. The Rock is absolutely awesome as Black Adam and his kill scenes are tremendous as are the running jokes tied to the killings. The comedic content overall is pretty solid. The special effects are tremendous and I enjoyed the inclusion of the Justice Society. Aldis Hodge delivers a strong performance as does Jalon Christian (A Journal for Jordan). The storyline is intricate and has some fun twists and turns and I enjoyed the conclusion. The post credits scenes is absolutely awesome too.Overall, this is a very well done addition to the super hero genre with enough unique elements to make it a must see. I would score this a strong 7.5-8/10 and strongly recommend it.","
            8/10
            "
"winak","16 November 2022","This movie is solely for kids and teens, the rest of us would find the characters, dialogues and concept cheesy at best. With the more established super heroes there is a margin of believability we would like to have. Here with Black Adam it is like fantasy gone wild and so you never connect with these heroes and their ridiculous powers. Sole dependance on CGI to make a movie is not a great strategy. Dwayne, besides displaying his bulk there wasn't much to like about the Black Adam. I don't know how Pierce Brosnan got roped in, but he looked as out of place as Jim Carrey would look in an action movie. It was almost like he was there as a spoof to all superheroes. While the Atom Smasher guy's uniform looked almost identical to Deadpool and his growing into a giant looks just like what Antman does. Feel sorry for DC as they are desperately trying to compete with Marvel and losing terribly. I don't see this movie growing into a franchise as Dwayne Johnson would lose all credibility as an action hero if he continues with this drivel.","
            4/10
            "
