"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"mickdansforth","12 June 2017","I was a young adult by the time Power Rangers started broadcasting on Fox. I enjoyed the Toei footage that Saban interwove with their newly shot footage for the show. By the Saved-By-The-Bell type footage of the American kids in Power Rangers made the show unwatchable to me. In the 00's, after buying Godzilla vs Megaguirus from Hong Kong on Ebay, I started buying Hong Kong DVDs of Ultraman, Masked Rider and eventually, semi-reluctantly some of the Super Sentai shows. And I found the Super Sentai shows, minus any US shot footage, to be really great. Absolutely nothing I heard or saw about this movie before seeing it appealed to me in any way. I don't trust Saban as a creative force, and none of the gritty reboot talk, or reveals appealed to me in any way. And Bryan Cranston in blockbusters is usually him cashing a big check for as little screen time as possible, and I have no idea if he was actually on set with his costars or not, but if he was not, you can't tell from the performances because the ""teens"" sell it. But once we start meeting the kids, I found them and their stories very compelling. It quickly became obvious that instead of retreading Save By The Bell of the teen drama, they were using The Breakfast Club as source material. And it works. This movie makes you care about these kids and their struggles. The exploration of their power is fun, and the all out action is great, if short, but the heart of this movie is the team learning to love themselves and each other and how to work together as a team. David Denman from Traffic Light (who was also Skip on Angel) was great as the Red Ranger's father. They used him a lot and he played his part well. Erica Cerra from Eureka has one short scene as the Yellow Ranger's mom, where the camera never rests on her long enough to recognize her, but she did her part great. Elizabeth Banks is awesome per usual and Bill Hader doesn't ruin anything. I hope this movie pulls in enough money to warrant a sequel because I definitely want to see more.","
            10/10
            "
"jaidanh","3 March 2021","The majority of this Power Rangers movie is just some teen angst drama. Now I have nothing against teen angst being portrayed in film and TV. But we're talking about a Power Rangers movie. This movie tries too hard to be serious and mature. There's humor every once in a while, but it doesn't fit with the serious tone. And while we're on the subject of seriousness, the color palette used in this film is very dull. It's the same washed-out color palette used in Man of Steel and Fantastic Four, which has been used in so many movies, and it's completely outdated.The script is quite bland with several pop-culture references. Some of the dialogue can be inappropriate for the kids that watch this film.The acting is okay, but the characters have feeble character development and can be very unlikeable. The most likable characters I can think of are Jason and Billy. Other than that, there's not a lot of characterization for the heroes of this movie. I wouldn't consider them fit to be role models. The Rangers don't have strong chemistry with each other. In the original TV show, they were already friends before becoming the Power Rangers. In this film, since they're only meeting each other for the first time, they fail to build a connection and understand each other. Even Zordon can be seen as unlikeable. In this film, he can sound irritable, whereas Zordon in the original show was more optimistic.Some aspects in this film are just stolen from The Breakfast Club. I'm not saying that because the film opens with a detention scene. There's way more than that. For starters, the Power Rangers all follow the same character traits as the main characters in The Breakfast Club: The Nerd (Billy), the Jock (Jason), the Outcast (Trini), the Princess (Kimberly), and the Rebel (Zack). The campfire scene where the Power Rangers reveal bits about themselves is similar to The Breakfast Club's circle confession.One of the BIGGEST issues I have with this film is the mass product placement from Krispy Kreme. My god, it's everywhere between the middle and end of the film. The final battle literally takes place at a local Krispy Kreme.Speaking of the final battle, it's the ONLY fight scene in this 2-hour movie. If you were expecting this movie to be packed with fighting sequences, get ready to be disappointed.So yeah, I wasn't entirely pleased with this film. It doesn't have much replay value, and I wouldn't recommend this film to kids. I liked the visual effects and the soundtrack, but yeah, that's about it. This film was just very uninteresting. Hopefully, the next reboot does something much better.","
            3/10
            "
"I_Ailurophile","11 February 2023","This does NOT make a good impression right out of the gate. The brief prologue accentuates that this new vision of the franchise aims to be dark and gritty in the same way as too many modern superhero movies are; early exposition greets us with boorish ""humor,"" and overemphasis of shadows and dark hues in the color palette to further cement the grit. 'Power Rangers' concretely informs in early scenes - through direction, cinematography, action, stunts, effects, music, and more - that it's slick, modern, cool, and flashy. All it actually needed to be was fun, with cartoonish violence commensurate to what we saw in the TV show of the 90s. Instead we're greeted with grim violence that tries to be as realistic as possible, and cartoonish introduction of the characters' powers that's frankly a little cringe-worthy. (Remember Edward's demonstrations of his powers in the first 'Twilight' movie?) It tries so hard to update the concept with modern sensibilities of the MCU or DCEU, and with a mind for what teen and young adult viewers are accustomed to in recent years, that it becomes common and unexceptional, loses sight of what made 'Mighty Morphin Power Rangers' such a hit in the first place, and to be blunt, just becomes tired and obnoxious.It all looks great. A lot of hard work went into the production that I deeply appreciate. The diversity of the primary cast and characters is most welcome (though of course the chief protagonist has to be a white dude), and I think the cast performs well (even those in small supporting parts; hi, Erica Cerra!). Elizabeth Banks has minimal time on-screen as villain Rita Repulsa, but she's clearly loving it. The effects look good, both the practical creations and the regrettable overabundance of CGI (that is at least on par with anything in modern action flicks); the sets, costume design, and hair and makeup work are terrific. The crew put in good work all around. I don't agree with all the choices made behind the scenes, mind you, including instances of direction or cinematography. The new design of Zordon's lair, and how he presents, are plainly over the top, as is the new appearance of the power suits. The design of the Zords here frankly reminds too much of how the Transformers look in Michael Bay's ""live-action"" films - nondescript chunks of metal with no substantial identity, little more than junkyard kluges with slightly different color schemes and configurations.And that might be the real takeaway here, that 'Power Rangers' has no meaningful identity of its own. It's clearly a reimagination of an established franchise, yes, but it specifically takes all its cues from Marvel, and DC, and other blockbuster action flicks of the last 15 years or so (not least 'Pacific Rim') that after a point all tend to start blending together. This also applies, emphatically, to the writing. Characters and their development, dialogue, scene writing, narrative, plot development, humor, the forging of the team, and anything else one might name all work overtime to emulate comparable titles, becoming kind of indistinguishable in the process. The writing informs the execution in turn, so it and the direction, action sequences (that effectively wait until the last quarter to show up), music, and to some degree as well the acting, all share the same traits in some capacity: heavy-handed, overwrought, ham-handed, lacking tact or nuance, if not simply imitative and unremarkable - and at the same time, often coming across as weirdly oversimplified. The location of the MacGuffin leads to cheeky jokes that I suppose someone thought was unique and clever; the last moment in which we see the Megazord is both copied and pasted from other such fare, and altogether aggravating in its kitsch. Scenes of team building come off as the perfunctory, obligatory connecting of dots rather than earnest plot. And so on.I admire the effort. I distinctly disagree with too many decisions that were made in how to proceed with this feature, but everyone involved put their best foot forward and gave it their all, the cast and crew especially. I would, genuinely, like to see stars Naomi Scott, RJ Cyler, Becky G, and Ludi Lin in other pictures, and see more of what they're capable of. Yet whether the blame lies with director Dean Israelite, the team of writers, the producers, or someone else or some combination thereof, 2017's 'Power Rangers' is bereft of what made its predecessors so enjoyable in the first place (even at their worst), and just disappears into a very crowded sea of modern action films. There were, I think, some very good ideas here, but they rather get lost in the mix, and at best the title is basically just average. Factor in particular faults that grate on one's patience, and my favor takes another step down. Why, though in different ways, I think this is sadly on par with ill-considered franchise antecedent 'Turbo: A Power Rangers movie,' wherein the crew did good work, and the cast tried, but the writers and directors were just phoning it in. Well, no one is phoning in their contributions here, but the result is unfortunately just as uninspiring when all is said and done. I wish all participants nothing but the best, but whether you're an action buff or a devotee of all things Power Rangers, I just don't think this rendition makes the grade.","
            4/10
            "
"subxerogravity","23 March 2017","Another installment in nostalgia.When I first heard about the Power Rangers being brought back as a film franchise I was pretty jazzed about it. It does not hurt that the closest thing to bad press I heard about the movie was that they needed to push back the filming, which only allowed them to add the star power of Bryan Cranston and Elisabeth banks.Only indifference I had towards the movie was that as corny as the TV show was the concept of a group of overachieving teenagers being selected to become the best of the best makes sense (Especially because they are teenagers, they should be the best of the best at lease). Because dark is cool these days, the Rangers needed to have more edge to them, which is why this new team is made of ""diamonds in the rough"" who society has scrub off as screw-ups. So the idea is that Bryan Cranston who plays the big giant head Zordon, has the power coins pick those who have the potential to be the best of the best.Out of all the superhero movies that are coming out, Power Rangers is not the best of the best, it's definitely a diamond in the rough that has potential, but still needs more training. I did like the cast of teenagers who had some very distinctive personalities, as they try to even out the characters. I did love the fact that the Blue Ranger was played by a black dude, and The Black Ranger was played by an Asian dude (it's less distracting than what happen in the TV show).Bryan Cranston's star power did nothing to make his Zordon a better giant head, but Elisabeth Banks was great as Rita Repulsa. In a time with Superhero movies having weak antagonist, I got to say, I enjoyed what Banks did with the character and loved to see her on the screen.So I went into this really wanting to see this and I was not disappointed. It's not really what I expected as it's not the kung fu spectacular the TV show was, but it is a good movie. Not great just good.http://cinemagardens.com","
            7/10
            "
"WhenAmyMetSalad","21 April 2017","TL;DR - Slow, boring, not entertaining, Fant4stic was better. I followed this movie around the time it was first announced and even partook in the boards and seeing all the news and leaks about the movie. I was not too fond of certain things about this movie especially certain casting as I felt it wouldn't fit. I honestly really wanted to enjoy this movie but when the trailer hit I had a bad feeling and should have stuck to it. My friend dragged me to go watch it with him and I hated almost every minute. After reading mixed reviews the ones that resonated with me are the ones that shared my same opinions. The movie lacked good comedy, needed to improve on action. It dragged and dragged with these poorly acted characters and mundane character development for our protagonists. The only fun character was Rita. Elizabeth Banks did a great job making that character hers and making her feel more menacing than she was in the show. I've only ever liked her in one other franchise and that was The Hunger Games so to be honest I am surprised I liked Rita as much.--- ***SPOILERS BELOW***---The movie started off good with the ending of a battle scene which introduced our antagonist and the seriousness of a threat our heroes will encounter down the road. Rita literally kills the previous Ranger team and is the ever so loved Green Ranger which was teased and theorized throughout set photo leaks. This scene and the final Battle where Rita gets B-chSlapped to the moon was the only entertaining thing in this whole movie. Everything in between was utterly boring. You will seriously have a more fun time watching the Ghostbusters Remake or the Fant4stic reboot.","
            2/10
            "
"rgkarim","24 March 2017","In the 90's Saban unleashed onto our homes five teenage heroes dress in multicolored, state of the art underwear. What followed was legacy of aspiring actors fighting men in ashen grey costumes, before turning their attention to unique costumed antagonists that tried to stop their quest. And to this day Power Rangers continues to be a hit amidst the adolescent world as Nickelodeon continues to inspire them to fight as the rainbow warriors. So of course, we needed a movie to really seal the deal, based on the original series that started it all. Robbie K here to cover another movie. Let's get started. Summary: If you were a fan of the series like I was, then you will certainly be looking for that nostalgic adventure you had as a kid. Well the movie is able to bring some of that back as traditional characters (in new, hot, youthful skins) return to fight the forces of evil. But past the new cast, you'll be go go going crazy for all the throwbacks including: Zords, monsters, Rita's dramatic speeches, cameos, and of course the suits. It's fun to relive those childhood moments, making one laugh at all the memories that come rushing back in this new adventure. But if nostalgia won't make you smile, then certainly the comedy of the movie will be an entertaining factor. Power Rangers surprisingly is funny (and not in the cheesy way the classic series was). Each of the teens has their moments where they put their foot in their mouth or get a taste of humility as they eat pavement. But it is Billy who steals the show, as the autistic youth delivers well-timed comedy that grounds all the drama brought by this new generation of rangers. Yes, you heard me drama, this origin movie has far more drama than the series had back then and with it some surprising character depth. Where the 90's was cutesy love and bullying, this movie goes deeper down the teenage angst path. It works at times and helps expand on what once was limited roles. As for the action, Power Rangers is also decent in this category as well. This film has some fast-paced karate chopping action, that quickly melds into robot on monster smashing. The special effects are semi impressive, not so much in terms of realism, but capturing the spunk of Power Rangers. The Zords in particular are much smoother, and the modern twist on their design matches the edgier theme of the movie. And of course, there are lots of thrilling explosions and sound effects to bring it all to the front. While not as cheesy as Saban's classic fights, the battles in this film still have that energy we all fell in love with. Summary: Despite the deeper lore of the series, the teenage issues were also a little eye rolling as well. I know not to expect a masterpiece, but this Power Ranger plot felt like an after school special meeting a special effects show. I'm sure this will speak to many of the modern generation, but these issues just felt out of place compared to those in the 90s. Plus, the rebellious, delinquent protagonists aren't necessarily the ideal role models for the younger generations. Perhaps it was also the darker atmosphere that also detracted it from me. Despite added suspense and danger, the darker moments made the movie less fun for me at times. And to be honest, some of the darker moments were a bit disturbing at times, so please exercise caution if your kids are easily scared. Speaking of scary, the new direction they took with Rita Repulsa was not the most comforting thing to see. This portrayal was much more nightmarish, replacing Rita's grandiosity with pure insanity and lust as she feasted on ""gold"" from every source. While the edginess wins points for danger, the creepy (somewhat adulterated) portrayal of Rita did not impress me, nor did the overacting (again dramatic) walks/speeches she made through the movie. In addition, I wasn't a fan of the new Goldar, wondering why they replaced the cheesy (yet creative) chimera design for a CGigoldenVelveeta monster? Yes, the monsters certainly lacked that design we all loved, for again darker, edgier forms. In regards to the action, well as always, I wanted more. Power Rangers runs just a little over two hours, but only about twenty minutes of that is actually action. It would have been nice to have a little more investment in the combat scenes to really deliver the promised punch the first 90 minutes promised. For one thing, it would have been nice for all the weapons, not just a random appearing sword, to make an appearance as they fought for the sake of the world. That minor detail aside, the kung Fu scenes could have been longer, and the Zords could have had a little more coordination than just one or two taking a punch. In addition, the edgier Rita needed some more time to show off her skills (other than speeches and walking through CGI streets). The Verdict:Power Rangers is certainly a fun stroll down memory lane, filled with plenty of nostalgic references to make you feel sort of like a kid again. With a new edge comes character development and special effects that for the most part work. Yet, there are still some balance issues that need work, including stepping back from the darkness and increase the emphasis on action (and story). Still not a bad origins story. Worth a trip to the theater? For the special effects and adventure, definitely, but there are other movies better worth the price of admission. My scores:Action/Adventure/Sci-Fi: 7.5 Movie Overall: 7.0","
            7/10
            "
"pulkit110","4 July 2017","Five high school students accidentally acquire powers that make them super strong and fast and have to save the world. There's not much new going on in this movie as compared to the other super hero movies and it's more an origins story rather than a full fledged Power Rangers film. The worst thing about the movie is the villain. Rita is pretty bland and there's nothing interesting about her. The only thing going for the movie, in my opinion, is the humour and CGI. Overall, an enjoyable movie if you are a fan of power rangers or superhero genre in general. One time watch!","
            7/10
            "
"wmig-86583","4 September 2021","The movie starts very slow. And is a case of everything they do magically works in their favour. Spoilers!!In the first 45 minutes we see a bunch of different kids stumble across some stones, then make the cafeteria food and drink explode, jump 60 metres then coincidentally one falls into this big lagoon type thing in a cave and again, It works out for them finding this big alien ship. If you are expecting anything like the original power rangers you will be very badly let down.","
            5/10
            "
"afijamesy2k","23 March 2017","You know when I was 12 years old, I saw power rangers, I thought the first 2 seasons (1993-95) represent splendid action, suspense and real characters, but once season 3 came it all went downhill and this movie is another example at how jumped the shark the power rangers franchise has become, the performances are awful, the story is completely and absolutely confusing, the screenplay is a mess and the editing is a trainwreck, now I love bryan Cranston he's always been a wonderful actor, but he is truly wasted in this one as zordon, a man who help 5 teens with their magical powers and their customs to save angel grove from monsters and the evil rita repulsa (played terribly by Elizabeth banks) and other nonsense, this is just a pathetic and useless attempt to revive the power rangers franchise, it is just awful, this is one of the year's worst films, no offense to my friend who is a power rangers fan, but this movie stinks.","
            2/10
            "
"moviemattb","27 March 2017","It has been three years, since this was first announced as Lionsgate and Saban teamed up to do reboot of ""Power Rangers,"" and now it is finally here for the time in 2017. This movie came out on my Birthday, and got to see it the day after it came out, and all I got to say that ""Power Rangers"" was a morphinominal experience. I had such a fun time with this movie, and really had the pleasure to see a ""Power Rangers"" movie on the big screen like I never had before. I will not spoil this movie for you, because I want you to be surprised by it. Pressing on, the movie tells our five teenagers with attitude as they all come from different backgrounds, when they stumbled across as they found these power coins that gives them their own strengths and found a spaceship as they meet their mentor Zordon and his robotic assistant Alpha 5 as they are chosen to become Power Rangers. While that's going on, we have Rita Repulsa as she has come to Angel Grove to wipe out humanity as our five main heroes must come together as a team in order to save the world. It may be your typical origin story like you have seen a million times before, but it works on its own level. With that said, this is a darn good looking movie, and this does not look like a Michael Bay movie. This is definitely Dean Israelite's movie, the director that brought us ""Project Almanac"" which I really enjoyed that movie, and he really does care on making this movie as he knows how the fan-base really loves ""Power Rangers"" and never acting as a director that really wants a paycheck. I give him huge props for putting a lot care into making this movie, and his direction is absolutely wonderful. The way the movie opens, which I can't spoiled has made my jaw dropped and it was an incredible way to open. The movie's tone is dark, but it still retains the essence of ""Power Rangers,"" where it never forgets the cheese factors. This movie is like a cross between ""Chronicle"" meets ""The Breakfast Club."" I really do love the look of the movie as it is beautifully well filmed, and really has that the kind of atmosphere as it does look gritty, but still has the colors. Brian Tyler's music is epic, and I loved that kind of vibe as it really sounds very sci-fi, but for a coming of age superhero movie. You do hear, the ""Power Rangers"" theme song which it does make it a treat for fans that grew up with the series. The cast in this movie are just fantastic. Bryan Cranston as Zordon is really remarkable as he embodies the character as not only he plays as a wise mentor, but very complex as he is trying to get our heroes to become Power Rangers. Bill Hader as Alpha is really funny, and enjoyable to watch. I do enjoy the redesign of this character as he looks more like an alien robot, instead of some actor in a suit. No disrespect on the original Alpha, just like to point that out. Elizabeth Banks as Rita Repulsa is really funny, but quite menacing at the same time. This Rita does a whole lot more, than just sitting at her palace doing nothing and she really does fight the Rangers. As for our heroes, Dacre Montgomery, Naomi Scott, Ludi Lin, Becky Gomez, and R.J. Cyler have all done such a superb job to have great chemistry together as their acting is very natural and they all do have a charisma. They played flawed teenagers, as they go through real life issues instead of just being goodie goods from the show. They really are the Power Rangers for this generation. I am very pleased for this movie to go deeper into the mythology of Power Rangers as opposed to what the show couldn't do. The action in this movie is pretty good, and so does the special effects. The pacing is never slow, and really does keep me invested with the story, and as well with its characters. The humor, thankfully, doesn't have any of the burp or fart jokes like what happened to the recent ""TMNT"" movies. This has the right kind of humor like what Marvel Cinematic Universe movies have, and it knows when to have fun. I did cry during that one moment in the movie, but once again, cannot spoil it for you. Can't forget about the Zords and the suits as they look really cool in motion. Love them very much. Any flaws? Yes, but they are minored. As much as there was character development for the Rangers, but we kept getting more from Jason, Kimberly and Billy. Sure Zack and Trini do have moments to shine, but you wish there was more to them. Nevertheless, there was enough to care about them. As for Goldar, I thought the design of him looks interesting, and can see why they went with it as it fits within the context of the movie, but you wish he had more of a personality instead of being a run of the mill monster. Sure he is intimidating, but really wanted more from him. So I find this Goldar both good and bad at the same time. I really love this movie, and really do enjoy the aspects of teamwork as it does add to the heart of the movie. ""Power Rangers"" is a loving tribute to the series, and you are going to have a wonderful time at the movies as it appeals to the old and new generation of fans. Kids can enjoy it, and so can adults. This was the best Birthday that I've ever had, and I am giving ""Power Rangers"" a 10 out of 10.","
            10/10
            "
