"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Leofwine_draca","25 September 2015","JOHN WICK is a rare example of Hollywood getting things spot-on when it comes to creating the near-perfect action film. JOHN WICK is a relentless, pulse-pounding thriller that has plenty of similarity to the Liam Neeson classic TAKEN, albeit with a more simplistic (and also more emotionally intense) plot line. This is the kind of lean, pared-down film-making that's all about intensity and momentum. It sits well with classic international fare like POINT BLANK, SLEEPLESS NIGHT, MEA CULPA, THE MAN FROM NOWHERE, and THE RAID films.JOHN WICK isn't a perfect film; some of the dialogue is sloppily, some of the writing is too broad, and occasionally the music is intrusive. However, when it gets things right, as it frequently does, you can forgive all of these minor niggles and sit back and enjoy the ride. The clever decision was made to employ a martial arts expert as director, so the emphasis is on realistic, superbly choreographed action sequences, and they're hard-hitting and plentiful. The nightclub set-piece is the obvious highlight, but nearly all of the action here is spectacular.Keanu Reeves has been in lots of average or overrated films over the years but this stands as one of his very best, alongside SPEED. His dry, laconic turn is light years ahead of his other recent action flick, MAN OF TAI CHI. The supporting cast is basically unnecessary, but Michael Nyqvist, Willem Dafoe, and Alfie Allen all put in decent turns. In the end, though, JOHN WICK is all about the action, and quite simply it rocks. Bring on the sequel!","
            7/10
            "
"utgard14","22 November 2014","Wow what a great surprise this was. I was told by a friend this was good but it's been awhile since I liked a Keanu movie so I was hesitant to try it. Retired hit-man John Wick (Keanu Reeves) loses his wife to cancer. After her funeral he receives a puppy she left him. A few days later some thugs, led by the son of a Russian gangster John used to work for, break into John's house. They beat him up, take the keys to his beloved car, and kill the puppy. They did this not knowing who he was; they just wanted the car. Now John Wick is out for revenge and the Russian gangster is trying to save his son's life by sending killers after John.Keanu's great here. Glad to see him doing something watchable again. Willem Dafoe, Alfie Allen, Ian McShane, and Lance Reddick lead a good supporting cast. Michael Nyqvist was made to play villains. Even Adrianne Palicki was good. Oh and hey the beat-up guy from the Allstate commercials is in this. The stuff with the hotel for assassins and the way they all know each other was pretty funny. About the only problem I had with it was the unrealistic scene where the bad guy finally gets the upper hand on the 'hero' and doesn't kill him. This sort of thing is common in movies but it's always unbelievable and reminds me of the old James Bond villains. This is easily the best action movie this year. Possibly the best straight action movie since the first Taken. English-speaking action movies, that is. It doesn't reinvent the genre or anything but it's entertaining.","
            8/10
            "
"ma-cortes","23 March 2023","Ultra-violent first entry with lots of killings, thrills , noisy action , suspense , and crossfire . In this original John Wick (2014) , an ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him . With the untimely death of his beloved wife still bitter in his mouth he seeks for vengeance . But when an arrogant Russian mob prince and hoodlums steal his car and kill his dog , they are fully aware of his lethal capacity. The Bogeyman will find himself dragged into an impossible task as every killer in the business dreams of cornering the legendary Wick who now has an enormous price on his head . In this first installment John Wick , blind with revenge, and for his salvation John will immediately unleash a carefully orchestrated maelstrom of destruction against those attempt to chase him and with a price tag on his head, as he is the target of hit men : an army of bounty-hunting killers on his trail and a murderer woman everywhere . The legendary hitman will be forced to unearth his meticulously concealed identity and to carry out a relentless vendetta . Now, only blood can quench the boogeyman's thirst for retribution . Don't Set Him Off! . John Wick isn't the Boogeyman... He's the guy you send to kill the doomed Boogeyman. Revenge is all he has left. You want peace, prepare for war . Don't Hunt What You Can't Kill. Tick Tock, Mr. Wick. Everyone Is Waiting. For John Wick . Every Action Has Consequences. This Friday, Wick is Back . Its the World Vs. Wick. Every Action Has Consequences.Thrilling and nail-biting first outing with violent combats , kinetic energy , very high body-count and struggles in a comic-book style . It's an action-packed film with an interesting mingle of suspense , martial arts , gun-play , killing rituals with weird codes and bloody combats . The plot is simple and plain , as John Wick being forced into action to exact a relentless vendetta and steadily butchering his merciless enemies , while inching ever closer to the long-awaited bloody reunion with the boss killer . This is a bone-chilling thriller with non-stop action , including impressive fighting with a lot of blood and gore . It's a mindless but enjoyable for thrillers and martial arts aficionados of the old style , but adding some new technical being made by means of digital computer generator as well as expert stunts . Abundant fist-fights and lethal struggles in which arms and body parts are slice off here and there and limbs are slit open everywhere or blasted apart . Of course , highlights of the film are the impressive and groundbreaking Keanu Reeves' fights with lots of blood dropping here and there . Keanu Reeves is nice as John Wick , the expert former assassin , in which drenched in blood and mercilessly hunted down, he can surely forget a peaceful retirement as no one can make it out in one piece . He's well accompanied by a familiar cast -some of them to appear in the subsequent sequels- including as follows : Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki , Toby Leonard, Daniel Bernhardt , Bridget Moynahan , John Leguizamo, Ian McShane and the two fine actors recently deceased : Michael Nyqvist and Lance Reddick .It packs colorful , though dark cinematography by cameraman Jonathan Sela, mainly shot at night . As well as pulsing throbbing musical score by Tyler Bates and Joel J. Richard. The motion picture was professionally directed by Chad Stahelski and David Leitch . These craftsmen have made this adrenaline-fueled action franchise, ¨John Wick trilogy¨ formed by the following ones : ¨John Wick I¨ 2014 by Chad Stahelski, David Leitch with Michael Nyqvist , Alfie Allen , Willem Dafoe , Dean Winters , Adrianne Palicki . ¨John Wick: Chapter 2¨, 2017 , in this second installment , after returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life , played by Riccardo Scamarcio , Ian McShane , Common , Claudia Gerini , Lance Reddick , Laurence Fishburne , Tobias Segal , John Leguizamo , Bridget Moynahan. ¨John Wick III Parabellum¨ in which he returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail, after killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado , starred by Halle Berry , Ian McShane , Laurence Fishburne , Mark Dacascos , Asia Kate Dillon , Lance Reddick , Tobias Segal , Anjelica Huston , Saïd Taghmaoui , Jerome Flynn . And in production : ¨John Wick: Chapter 4¨ with Keanu Reeves , Donnie Yen , Bill Skarsgård , Laurence Fishburne , Hiroyuki Sanada.","
            5/10
            "
"Giacomo_De_Bello","23 January 2015","The only word that keeps coming back to mind when reviewing this movie is: exhilarating. The fun factor this amazing action film has is probably the highest of any movie this year. I could not stop myself from having a blast!First and foremost, being also the first thing you notice, ""John Wick"" is self-conscious of what it is and doesn't, for not even one second, take itself more seriously than it should. Fortunately this doesn't shut out the place for character connection and empathy. People often think the two of these things exclude themselves, but that is not what I think and this movie is proof of it. It has such a genuine sense of fun and humor, so much so that you are often laughing WITH (not AT) the movie at the preposterousness of everything and at the same time feeling genuine tension for the characters you're rooting for. I know it sounds ridiculous, but every single f***ing kill by John Wick feels exciting and liberating, it was incredible how much I was rooting for him. To this contributes some stunning, fast-and-furious level action scenes that benefit amazingly by the practicality involved. Hats off to the director and the special effects guys for staging such a flawless string of adrenaline-pumping scenes, in particular to the director for the highly energetically stylish direction that never feels as a gimmick or out of place, yet instead makes everything all the more enjoyable. Furthermore this is one of the few movies in which sound actually stood out and contributed in making the film a great success. Keanu Reeves is perfect for the role and brings to the screen so much charisma I could not help but root for the guy. He is surrounded by a great cast too that has very fun moments on their own. If all of this wasn't enough, ""John Wick"" has some great original ideas and plays with them in the best way possible.Despite having a blast in the theater and wanting to maybe see this movie again in a year or so, it isn't original, stylish or innovative enough to say: ""we've seen this plot before, but not quite done this way"". Yes it has its brilliance, but it is kind of cheesy, even if in a good way, and predictable. It doesn't rank up to a higher standard of action movie because of its straight-forwardness. It does have some stakes, but all in all there isn't really an overwhelming set piece or twist that makes it highly remarkable.Obviously, that is not what it's aiming for and because of that I could recommend this movie to anybody, just go and have the best action entertainment fun in the theater!","
            4/10
            "
"grantss","3 September 2015","Mediocre action movie.Shortly after his wife is murdered, a retired hit-man, John Wick (played by Keanu Reeves), is targeted by a Russian crime gang. After they steal his car and kill his dog, he goes on a revenge-fueled killing spree...Started fairly well - good build up and backstory. After a while, however, it loses any pretence of character-development, plot- development or intrigue and just becomes a simple action movie. This is unfortunate, as it had some potential in the crime-drama stakes. Even worse, it is action of the perfectly choreographed, first person shooter, high body count, explosions-for-the-sake-of- explosions variety. It got rather monotonous and predictable after a while.Ends up a tad boring, and disappointing. A bit more plot development, and less mindless action, and this could have been a good movie.","
            8/10
            "
"Howlin Wolf","10 February 2016","You could have written this on the back of a napkin... 'Guy's dog is murdered; guy goes mental, efficiently killing those responsible. The End'. There's no colour to the story, whatsoever; there are only garish colours in the nightclub scenes. If all you need to think something is cool is to see people getting beaten up or shot, then join the Army... Indiscriminately colouring random subtitles to look like comic book speech panels got old fast, too.This is going to make me sound all 'get off my lawn' (if I hadn't already!) but action movies used to be done so much better... These days, apparently all you need to make a popular action film is some fast editing and fight choreography, with the barest hint of a premise that absolutely no thought has gone into fleshing out - the end result being that the finished product has less depth than a puddle. I must be demanding, but for what I want out of even the most streamlined revenge flick, that just ain't good enough!","
            6/10
            "
"Palidan400","25 October 2014","Keanu Reeve is John Wick. He's a deadly and unstoppable hit-man, and it shows. ""John Wick"" is short and to the point, but so much fun. At 1 hour and 36 minutes running time, there is never a dull moment in what may be one of the best action films of the year. The film starts off quickly and never stops. It doesn't spend too much time on the backstory or development of Wick's life, yet it still succeeds so well in building up his character. Within the first 20 minutes, John Wick is called out of retirement when three robbers break into his home, steal his car, and kill his dog. Even before the action begins though, the film builds up so much suspense and gravity into who this ""John Wick"" is, resulting in a satisfying and exhilarating moment when his enemies realize he's back in the game. While the plot may be simple and straightforward, it works sufficiently in setting up a situation where the rest of the greatness can happen - stylized and awesome fight sequences where John Wick goes through dozens and dozens of kills. Seeing this in digital IMAX really helped boost the mood of the film; the intense sound design and visuals, the slick fighting and choreography on screen. There's this one scene in the film where John Wick assaults his way through a club, and all those elements combined make it an absolutely incredible sequence to witness. Besides John Wick and his fighting, the film does set up a very interesting world, thanks to all the other little details and characters it brings in. There is an organized system of those on the other side of the law, operating and exchanging ""gold coins"" while staying at bases such as ""The Continental"" hotel; this definitely allows room for sequels and spin-offs. Still, Keanu Reeves is the star of the show, and this is the best I have seen him in quite awhile. Again, the story is straightforward and audiences know what emotional journey to expect, but Keanu displays a good amount of range in his portrayal of Wick that is still nice to see. Just like his character states, I'm thinking he's back. ""John Wick"" is an awesome and enjoyable action flick that I would recommend. RATING: [8/10]","
            7/10
            "
"xiaoli7377","14 April 2023","I really don't understand the love that ""John Wick"" receives. It's just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.As for the story, it's basically not there. What's worse is the fact that the movie goes out of its way to constantly remind you that John Wick (Keanu Reeves) as a character is someone who is incredibly lethal and dangerous and feared by criminals. In my opinion, this completely kills whatever dramatic weight the cheesy storyline that ""they killed my dog and stole my car"" plot has to begin with.I guess people liked it well enough because it's got three sequels and more to come. Personally I don't think it's any better than the average Netflix Original action movie. Huge skip in my opinion.","
            8/10
            "
"planktonrules","10 September 2019","When the story begins, John (Keanu Reeves) has just lost his wife. After her death, he's a bit lost but tries to rebuild his life. One day, he's getting gas and a young Russian-American punk notices Wick's classic car...and tries to buy it off him. But Wick isn't interested and declines. Soon, the punk arrives at Wick's home with some goons where they surprise him--beating him senseless, destroying his stuff, killing his dog and stealing his car! This is when you then learn that Wick is a super-assassin....and the punk chose the wrong guy to attack. The jerk's father is a big-time Russian mobster....and it's a contest to see who will win...the mobster and his gang or Wick on his own. Considering there are (so far) two MORE John Wick films, it pretty much seems certain who will win this battle.To say ""John WIck"" is a violent film is a gross undestatement. Once the dog dies, it's pretty much a bloodbath from then on...with Wick dispatching countless goons VERY realistically on his way to ultimate revenge. And, he doesn't just kill a few...he makes sure to kill them by double and triple-tapping his prey. Blood and mayhem make this a lousy film to show your kids, mother or Father O'Reilly when he comes over for a visit!So, aside from being a bloodbath, is it any good? Yes, it's an excellent all-action film...but....it IS hard to watch and is essentially a giant gore-fest. In many ways, it's like the Sonny Chiba 'Street Fighter' films....that violent and that dedicated to making sure all the victims are indeed dead! Mindless violence....albeit well choreographed violence. Not really my sort of film...perhaps it will be yours.","
            10/10
            "
"Horst_In_Translation","27 February 2016","There are actually quite a handful reasons why ""John Wick"" could have become a failure. The two directors have never made a film before and almost exclusively worked in the stunt department so far. The writer is not exactly experienced either. Lead actor Keanu Reeves usually scores more through boyish charm than through realistic portrayal of gritty badass characters. And the genre of crime action thrillers rarely delivers in terms of real significance. Still it became a very good film. The main reason for that is probably that it does not attempt to be anything of great cinematic value, does not try to teach groundbreaking stories on moral, loyalty or betrayal. Instead, Derek Kolstad's script goes for a gutsy revenge thriller that is not even hurt by its occasional predictability.I was very pleased with Reeves performance here. He is a man in his 50s now and I guess with age came a certain masculinity that works very well in this film here. Willem Dafoe is fun as always. Adrianne Palicki nicely plays a cold-blooded femme fatale. Lance Redick is a lot of fun with his professional take on Wick being a guest in his hotel. Alfie Allen is the real antagonist at times, but his character's age and and inexperience really cost him that perspective. Instead his character's father develops into the main enemy to John Wick, even if both apparently still have a lot of respect for the other and Nyqvist's character really only has to pay for his offspring's sins and Wick seems to understand that he wants to protect his son, even if he opposes this idea. People who complain that such a way of revenge may be way too much for a dead dog and stolen car have not understand a thing about the main character here. He is a testosterone-filled hit man, who has not acted rationally for years and will not do so either if somebody destroys the only link left between him and his beloved wife. That's why it is not an unrealistic film. I also liked that they did not choose to include a new love interest for the main character as it would have been really contradictory in terms of him mourning for his wife. They can do that in the sequel perhaps. Choosing the path of an assassin to avoid a 99% male cast was the right way to go.There are a couple moments that did not seem in a way that I'd have expected from Wick, usually these when he shows mercy for his greatest enemies, also the scene in the end. Yes he does respect Tarasov Sr. but after killing Dafoe's character is it really appropriate that he threw his gun away? I am not sure about that. I guess I'd have preferred an ending like the final boss battle from ""Taken"". And the dog scene at the end? Oh well, this is maybe one of the few areas when the film attempts to be something more than it should with the emotional significance that felt really only included for the sake of it. But there really isn't anything wrong with these 100 minutes. I enjoyed the watch a lot and this is even more impressive as action films can rarely stay memorable to me. Highly recommended, an extremely positive surprise how well it worked against all odds. I very much hope the second one will be equally strong.","
            5/10
            "
